ID1,ID2
31678_11,['31678_32']
625_14,['625_15' 'paper_13']
625_15,['paper_13']
646_121,['646_122']
646_4,['646_54' '646_55']
646_49,['646_117']
646_5,['646_18']
646_54,['646_55']
646_6,['646_7']
646_87,['646_88']
646_89,['646_90']
646_93,['646_94']
646_95,['646_96']
US_109,['paper_21']
US_120,['paper_18']
US_134,['US_226']
US_136,['US_137']
US_179,['paper_33']
US_18,['paper_17']
US_181,['paper_16']
US_185,['paper_38']
US_186,['paper_26']
US_187,['paper_30']
US_189,['paper_36']
US_2,['paper_15']
US_216,['US_326' 'US_327' 'paper_24' 'paper_25']
US_218,['US_459']
US_219,['US_225']
US_223,['US_224']
US_234,['paper_27']
US_236,['paper_31']
US_238,['paper_32']
US_251,['US_330']
US_252,['US_482' 'paper_1']
US_259,['US_468']
US_26,['paper_20' 'US_461']
US_282,['US_366']
US_286,['US_289' 'US_287' 'US_288']
US_287,['US_289' 'US_288']
US_288,['US_289']
US_3,['paper_19']
US_326,['paper_25' 'paper_24' 'US_327']
US_327,['paper_24' 'paper_25']
US_334,['paper_29']
US_34,['US_149']
US_356,['US_357']
US_358,['US_359']
US_36,['paper_37']
US_368,['US_448']
US_388,['US_406']
US_45,['paper_28']
US_451,['US_467' 'US_452']
US_452,['US_467']
US_460,['paper_34']
US_461,['paper_20']
US_462,['paper_23']
US_463,['paper_22']
US_464,['paper_35']
US_482,['paper_1']
US_55,['US_56']
US_65,['US_66']
paper_24,['paper_25']
